TIME,Calibrated,
12May2021 1300,3.432,
12May2021 1330,3.428,
12May2021 1400,3.424,
12May2021 1430,3.42,
12May2021 1500,3.416,
12May2021 1530,3.412,
12May2021 1600,3.408,
12May2021 1630,3.408,
12May2021 1700,3.409,
12May2021 1730,3.411,
12May2021 1800,3.413,
12May2021 1830,3.415,
12May2021 1900,3.417,
12May2021 1930,3.419,
12May2021 2000,3.421,
12May2021 2030,3.423,
12May2021 2100,3.424,
12May2021 2130,3.426,
12May2021 2200,3.428,
12May2021 2230,3.43,
12May2021 2300,3.432,
12May2021 2330,3.433,
12May2021 2400,3.435,
13May2021 0030,3.437,
13May2021 0100,3.439,
13May2021 0130,3.44,
13May2021 0200,3.442,
13May2021 0230,3.444,
13May2021 0300,3.445,
13May2021 0330,3.447,
13May2021 0400,3.449,
13May2021 0430,3.45,
13May2021 0500,3.452,
13May2021 0530,3.454,
13May2021 0600,3.455,
13May2021 0630,3.457,
13May2021 0700,3.459,
13May2021 0730,3.46,
13May2021 0800,3.462,
13May2021 0830,3.463,
13May2021 0900,3.465,
13May2021 0930,3.466,
13May2021 1000,3.466,
13May2021 1030,3.466,
13May2021 1100,3.467,
13May2021 1130,3.467,
13May2021 1200,3.467,
13May2021 1230,3.468,
13May2021 1300,3.468,
13May2021 1330,3.468,
13May2021 1400,3.469,
13May2021 1430,3.469,
13May2021 1500,3.47,
13May2021 1530,3.47,
13May2021 1600,3.47,
13May2021 1630,3.469,
13May2021 1700,3.467,
13May2021 1730,3.465,
13May2021 1800,3.463,
13May2021 1830,3.46,
13May2021 1900,3.458,
13May2021 1930,3.456,
13May2021 2000,3.454,
13May2021 2030,3.452,
13May2021 2100,3.449,
13May2021 2130,3.447,
13May2021 2200,3.445,
13May2021 2230,3.442,
13May2021 2300,3.44,
13May2021 2330,3.438,
13May2021 2400,3.435,
14May2021 0030,3.433,
14May2021 0100,3.43,
14May2021 0130,3.428,
14May2021 0200,3.425,
14May2021 0230,3.423,
14May2021 0300,3.42,
14May2021 0330,3.418,
14May2021 0400,3.415,
14May2021 0430,3.413,
14May2021 0500,3.41,
14May2021 0530,3.407,
14May2021 0600,3.404,
14May2021 0630,3.402,
14May2021 0700,3.399,
14May2021 0730,3.396,
14May2021 0800,3.393,
14May2021 0830,3.39,
14May2021 0900,3.387,
14May2021 0930,3.386,
14May2021 1000,3.386,
14May2021 1030,3.385,
14May2021 1100,3.385,
14May2021 1130,3.384,
14May2021 1200,3.384,
14May2021 1230,3.384,
14May2021 1300,3.383,
14May2021 1330,3.383,
14May2021 1400,3.382,
14May2021 1430,3.382,
14May2021 1500,3.382,
14May2021 1530,3.381,
14May2021 1600,3.381,
14May2021 1630,3.38,
14May2021 1700,3.379,
14May2021 1730,3.378,
14May2021 1800,3.376,
14May2021 1830,3.375,
14May2021 1900,3.374,
14May2021 1930,3.373,
14May2021 2000,3.371,
14May2021 2030,3.37,
14May2021 2100,3.369,
14May2021 2130,3.367,
14May2021 2200,3.366,
14May2021 2230,3.365,
14May2021 2300,3.364,
14May2021 2330,3.362,
14May2021 2400,3.361,
15May2021 0030,3.36,
15May2021 0100,3.358,
15May2021 0130,3.357,
15May2021 0200,3.356,
15May2021 0230,3.354,
15May2021 0300,3.353,
15May2021 0330,3.352,
15May2021 0400,3.35,
15May2021 0430,3.349,
15May2021 0500,3.348,
15May2021 0530,3.346,
15May2021 0600,3.345,
15May2021 0630,3.343,
15May2021 0700,3.342,
15May2021 0730,3.341,
15May2021 0800,3.339,
15May2021 0830,3.338,
15May2021 0900,3.336,
